Week,Date,,Sp21 Lecture Schedule,Fa22 Lecture Schedule,Fa22 Actual Lecture Schedule,Fa23 Lecture Schedule,TRAVEL and EVENTS,Disc (Mon),Project Released,Project Due,Multivitamin Released,Multivitamin Due,Notes
,10/31,Tue,Spreadsheets,"SQL Modifications, Transactions, and Recovery","SQL Modifications, Transactions, and Recovery",MongoDB II,,,,,,,
,11/1,Wed,,,,,,,,,,,
,11/2,Thu,"Graph data: Property graph models, triples/RDF","Parallelization: Map-Reduce, Spark, Parallel DBMS, Dask/Modin",Parallel and Distributed Computing,"SQL Modifications, Transactions, and Recovery",,,,,,,
,11/3,Fri,OLAP + Visualizations (also part of prev lec),,,,,,,,Multivitamin 5 Release,,
,11/4,Sat,,,,,,,,,,,
,11/5,Sun,,,,,DST ends,,,,,,
12,11/6,Mon,,,,,,09: Transactions,,,,,
,11/7,Tue,Transactions Review Lecture,NO LECTURE,NO LECTURE,Parallel and Distributed Computing,,,,,,,
,11/8,Wed,,,,,,,,,,,
,11/9,Thu,Data Pipelines,Data Pipelines,Data Pipelines,GUEST LECTURE?,,,,,,,
,11/10,Fri,,,,VETERAN'S DAY,,,,,,,
,11/11,Sat,,,,,,,,,,,
,11/12,Sun,,,,,,,,,,,
13,11/13,Mon,,,,,,10: Paralellization,,,,,
,11/14,Tue,Sampling and sketching,Storage Types,OLAP + Visualizations,OLAP + Visualizations,,,,,,,
,11/15,Wed,,,,,,,,,,,
,11/16,Thu,"Storage: Column vs row, compression, exchange formats","ML: Model training, serving, and monitoring",Transactions Review Lecture,"Sampling, Data Vis",,,,,,,
,11/17,Fri,,,,,,,,Project 4: Checkpoint Due,,,
,11/18,Sat,,,,,,,,,,,
,11/19,Sun,,,,,,,,,,,
TB,11/20,Mon,,,,,,11: NONE,,,Multivitamin 5 Due,,
,11/21,Tue,"Parallelization: mapreduce, spark, parallel DBMS, dask/modin",NO LECTURE,NO LECTURE,GUEST LECTURE - ML?,,,,,,,
,11/22,Wed,,,,,,,,,,,
,11/23,Thu,,,,,,,,,,,
,11/24,Fri,,,,,,,,,,,
,11/25,Sat,,,,,,,,,,,
,11/26,Sun,,,,,,,,,,,
14,11/27,Mon,,,,,,12: NONE,,,,,
,11/28,Tue,security and privacy,Distributed Transactions,"Sampling, Data Vis",Distributed Transactions,,,,,,,
,11/29,Wed,,,,,,,,,,,
,11/30,Thu,Reflections,Closing Thoughts,Closing Thoughts,Closing Thoughts,,,,,,,
,12/1,Fri,,,,,,,,Project 4: Mongo Due,,,
,12/2,Sat,,,,,,,,,,,
,12/3,Sun,,,,,,,,,,,
RRR,12/4,Mon,,,,,,,,,,,
,12/5,Tue,,,,,Final Review (Conceptual) TBD,,,,,,
,12/6,Wed,,,,,,,,,,,
,12/7,Thu,,,,,,,,,,,
,12/8,Fri,,,,,,,,,,,
,12/9,Sat,,,,,,,,,,,
,12/10,Sun,,,,,,,,,,,
Finals,12/11,Mon,,,,,,,,,,,
,12/12,Tue,,,,,,,,,,,
,12/13,Wed,,,,,,,,,,,
,12/14,Thu,,,,,,,,,,,
,12/15,Fri,,,,,Final 8:00-11:00 (cumulative),,,,,,
Total Lectures Count,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Range:,D2:D118,,,,,,,,,,,,
